******************* Приложение запущено 2024.07.18 20:54:08,215 [v1.47.0.1064] **************************
2024.07.18 20:54:24,118 [175571738][1.47.0.1064] DEBUG - 	e: System.EventArgs
2024.07.18 20:54:24,143 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.RenderControls...
2024.07.18 20:54:24,155 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.RenderControls успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:54:57,602 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:54:57,602 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:54:57,602 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:54:57,602 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:54:57,607 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:54:58,099 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:54:58,099 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:54:58,099 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:54:58,100 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:54:58,105 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:54:58,292 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:54:58,292 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:54:58,292 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:54:58,292 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:54:58,297 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:05,801 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:05,801 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:05,802 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:05,802 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:05,806 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:05,964 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:05,965 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:05,965 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:05,965 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:05,970 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:06,155 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:06,155 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:06,155 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:06,155 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:06,160 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:08,741 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:08,742 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:08,742 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:08,742 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:08,747 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:08,973 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:08,974 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:08,974 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:08,974 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:08,979 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:09,415 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:09,416 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:09,416 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:09,416 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:09,421 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:12,121 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:12,122 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:12,122 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:12,122 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:12,127 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:12,324 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:12,325 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:12,325 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:12,325 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:12,330 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:12,512 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:12,512 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:12,512 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:12,513 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:12,517 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:14,787 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:55:14,787 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:14,787 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:55:14,788 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:55:14,792 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:14,809 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnBarcodeInputted...
2024.07.18 20:55:14,809 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:14,809 [175571738][1.47.0.1064] DEBUG - 	sender: InputField (label: ШК лотка:, text: 399609970325)
2024.07.18 20:55:14,809 [175571738][1.47.0.1064] DEBUG - 	args: InputtedEventArgs (Text: 399609970325, Source: Keyboard, BarcodeEventArgs: )
2024.07.18 20:55:14,856 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsService.StartTask...
2024.07.18 20:55:14,856 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:14,856 [175571738][1.47.0.1064] DEBUG - 	employeeId: 0000072400
2024.07.18 20:55:14,857 [175571738][1.47.0.1064] DEBUG - 	cargoPackageId: 399609970325
2024.07.18 20:55:14,857 [175571738][1.47.0.1064] DEBUG - 	taskType: не задано
2024.07.18 20:55:14,857 [175571738][1.47.0.1064] DEBUG - 	task: не задано
2024.07.18 20:55:15,168 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsService.StartTask успешно завершен. Возвращаемое значение: 0
2024.07.18 20:55:15,221 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.RenderControls...
2024.07.18 20:55:15,282 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.RenderControls успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:55:15,288 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsService.GetLinesQty...
2024.07.18 20:55:15,288 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:15,288 [175571738][1.47.0.1064] DEBUG - 	taskId: DAT-000077631
2024.07.18 20:55:15,289 [175571738][1.47.0.1064] DEBUG - 	qty: 0
2024.07.18 20:55:15,392 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsService.GetLinesQty успешно завершен. Возвращаемое значение: 0
2024.07.18 20:55:15,398 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsService.GetUnfinishedLines...
2024.07.18 20:55:15,399 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:55:15,399 [175571738][1.47.0.1064] DEBUG - 	employeeId: 0000072400
2024.07.18 20:55:15,399 [175571738][1.47.0.1064] DEBUG - 	taskId: DAT-000077631
2024.07.18 20:55:15,399 [175571738][1.47.0.1064] DEBUG - 	lineCount: 0
2024.07.18 20:55:15,400 [175571738][1.47.0.1064] DEBUG - 	message: не задано
2024.07.18 20:55:15,507 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsService.GetUnfinishedLines успешно завершен. Возвращаемое значение: -2
2024.07.18 20:56:12,532 [185795278][(null)] DEBUG - POWER_BROADCAST: Message=PBT_TRANSITION, Flags=POWER_STATE_ON, POWER_STATE_PASSWORD (0x10010000)
2024.07.18 20:56:15,180 [185795278][(null)] DEBUG - POWER_BROADCAST: Message=PBT_TRANSITION, Flags=POWER_STATE_ON, POWER_STATE_PASSWORD (0x12010000)
2024.07.18 20:56:18,194 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:18,194 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:18,194 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:18,195 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:18,199 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:18,636 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:18,636 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:18,636 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:18,636 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:18,641 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:18,924 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:18,925 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:18,925 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:18,925 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:18,930 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:20,555 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:20,556 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:20,556 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:20,556 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:20,575 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:20,731 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:20,731 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:20,732 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:20,732 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:20,737 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:20,946 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:20,947 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:20,947 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:20,947 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:20,952 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:23,205 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:23,205 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:23,206 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:23,206 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:23,211 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:23,525 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:23,526 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:23,526 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:23,526 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:23,531 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:23,850 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:23,851 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:23,851 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:23,851 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:23,856 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:28,485 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:28,485 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:28,485 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:28,486 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:28,490 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:28,650 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:28,651 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:28,651 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:28,651 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:28,656 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:28,908 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:28,908 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:28,909 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:28,909 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:28,914 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:29,124 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:29,124 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:29,124 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:29,124 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:29,129 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:30,451 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:56:30,451 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:56:30,451 [175571738][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:56:30,452 [175571738][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:56:30,456 [175571738][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:56:30,515 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnNomenclatureInputted...
